MATCHSTATE:0:91:rrrf:7d9h|
MATCHSTATE:1:92:f:|JhAc
MATCHSTATE:0:93:cc/rrc/cc/rc:Jh2d|2c5h/AdKdTd/Jd/Th
MATCHSTATE:1:94:f:|9s4h
MATCHSTATE:0:95:cc/cc/cc/rrc:9dAd|5sTc/AhJd3d/Jc/5c
MATCHSTATE:1:96:f:|8dTc
MATCHSTATE:0:97:f:Qd9h|
MATCHSTATE:1:98:crrf:|7cQh
MATCHSTATE:0:99:crrrc/rrrc/crc/crc:4cTs|Qs9s/9h5d8d/6c/6d
MATCHSTATE:1:100:crc/cc/crrf:|3cKh/8h8c7h/Kd
MATCHSTATE:0:101:rrrc/rrrf:Qs6d|/8c8h2c
MATCHSTATE:1:102:f:|5dTh
MATCHSTATE:0:103:rrc/cc/rrc/rrc:Js5h|Td3h/6cQdKc/9d/3s
MATCHSTATE:1:104:f:|9c8h
MATCHSTATE:0:105:rc/cc/crc/cc:Th6d|5s4d/5cJc8c/6h/9s
MATCHSTATE:1:106:crc/rf:|3d8c/Th3cJs
MATCHSTATE:0:107:rrc/crc/crrrf:JsTc|/ThTsKd/Ac
MATCHSTATE:1:108:cc/cc/crrc/rrf:|5s6h/9d3dQc/7s/Qh
MATCHSTATE:0:109:crrrc/crrrrc/crc/rc:2d5d|4s4c/5s3d7d/Ad/As
MATCHSTATE:1:110:f:|3d2h
MATCHSTATE:0:111:rc/crc/rrrc/cc:AcQc|5sKh/As8sKs/6c/Ts
MATCHSTATE:1:112:f:|9d7h
MATCHSTATE:0:113:cc/cc/rc/crc:Ad6s|3c6h/7dTd4h/9s/4d
MATCHSTATE:1:114:rrf:|3sAs
MATCHSTATE:0:115:cc/crf:3d2s|/7cJh5c
MATCHSTATE:1:116:cc/cc/cc/cc:Jc6h|9s9h/3hAdAs/Ac/7d
MATCHSTATE:0:117:f:AhTd|
MATCHSTATE:1:118:f:|Jc6c
MATCHSTATE:0:119:cc/rrc/rc/crf:Tc7s|/Ad3d5s/9h/As
MATCHSTATE:1:120:crf:|6cJs
MATCHSTATE:0:121:rf:5cTs|
MATCHSTATE:1:122:rc/cc/cc/cc:2c2h|Ah7h/4hTs5d/Jc/Qs
MATCHSTATE:0:123:f:9c5d|
MATCHSTATE:1:124:f:|9s5d
MATCHSTATE:0:125:cc/crf:Tc6c|/Ts4cAs
MATCHSTATE:1:126:rc/cc/crc/rrrrc:As9d|3d9c/Qh8cKc/2h/4h
MATCHSTATE:0:127:crrf:QcKd|
MATCHSTATE:1:128:crrf:|2cKd
MATCHSTATE:0:129:rc/rrrc/cc/rrf:As5d|/8sKh6c/Jh/4c
MATCHSTATE:1:130:f:|Ad3s
MATCHSTATE:0:131:rc/cc/crrrf:2hJh|/3c5hKh/Tc
MATCHSTATE:1:132:crc/rc/cc/cc:9d2c|Qh8d/2d9s7c/3d/Ks
MATCHSTATE:0:133:rf:9dJc|
MATCHSTATE:1:134:f:|5d9h
MATCHSTATE:0:135:cc/crrc/crc/cc:9d2s|6c8c/5c6sJd/Th/Ah
MATCHSTATE:1:136:crc/rf:|5sQh/3c4c2c
MATCHSTATE:0:137:cc/crf:3d5h|/6hQh5s
MATCHSTATE:1:138:cc/rc/crrf:|5hTd/3c5dJd/5s
MATCHSTATE:0:139:rf:3c5d|
MATCHSTATE:1:140:crrc/rf:|2dKd/5d2h5h
MATCHSTATE:0:141:cc/crf:Ah7c|/2dTd8d
MATCHSTATE:1:142:rc/cc/cc/rc:5c2s|Qc7c/TsAs3s/6d/6h
MATCHSTATE:0:143:crc/crc/rc/cc:5c8s|Js6s/TcTh3h/9d/4c
MATCHSTATE:1:144:f:|AdKs
MATCHSTATE:0:145:crrf:2c9s|
MATCHSTATE:1:146:crf:|7d6d
MATCHSTATE:0:147:rc/rc/cc/rc:AdKh|6h5s/4cJh5d/Jc/Th
MATCHSTATE:1:148:rrf:|Kc6d
MATCHSTATE:0:149:cc/crf:As9d|/3c7cQd
MATCHSTATE:1:150:f:|AsJs
